Kategori,Nama,Khasiat,Produsen,Case_folding,punctuation_removal,tokenizing,stopwordremoval,stemming
Jamu Kesehatan,Galian Singset ( Susut Perut),"Melangsingkan badan, mengecilkan dan mengencangkan perut kendur, memadatkan tubuh,melancarkan BAB, membuat wajah segar dan tidak mudah keriput, menghilangkan selulit.",Mustika Madura,"melangsingkan badan, mengecilkan dan mengencangkan perut kendur, memadatkan tubuh,melancarkan bab, membuat wajah segar dan tidak mudah keriput, menghilangkan selulit.",melangsingkan badan mengecilkan dan mengencangkan perut kendur memadatkan tubuhmelancarkan bab membuat wajah segar dan tidak mudah keriput menghilangkan selulit,"['melangsingkan', 'badan', 'mengecilkan', 'dan', 'mengencangkan', 'perut', 'kendur', 'memadatkan', 'tubuhmelancarkan', 'bab', 'membuat', 'wajah', 'segar', 'dan', 'tidak', 'mudah', 'keriput', 'menghilangkan', 'selulit']","['melangsingkan', 'badan', 'mengecilkan', 'mengencangkan', 'perut', 'kendur', 'memadatkan', 'tubuhmelancarkan', 'bab', 'wajah', 'segar', 'mudah', 'keriput', 'menghilangkan', 'selulit']","['langsing', 'badan', 'kecil', 'encang', 'perut', 'kendur', 'madat', 'tubuhmelancarkan', 'bab', 'wajah', 'segar', 'mudah', 'keriput', 'hilang', 'selulit']"
Jamu Pasutri,Sehat Laki-laki Perkasa,"Menambah stamina dan juga menambah hormon, Menghilangkan capek, Menjaga tubuh tetap perkasa, Tidak mudah masuk angin, Mengentalkan sperma, Mencegah ejakulasi dini.",Mustika Madura,"menambah stamina dan juga menambah hormon, menghilangkan capek, menjaga tubuh tetap perkasa, tidak mudah masuk angin, mengentalkan sperma, mencegah ejakulasi dini.",menambah stamina dan juga menambah hormon menghilangkan capek menjaga tubuh tetap perkasa tidak mudah masuk angin mengentalkan sperma mencegah ejakulasi dini,"['menambah', 'stamina', 'dan', 'juga', 'menambah', 'hormon', 'menghilangkan', 'capek', 'menjaga', 'tubuh', 'tetap', 'perkasa', 'tidak', 'mudah', 'masuk', 'angin', 'mengentalkan', 'sperma', 'mencegah', 'ejakulasi', 'dini']","['menambah', 'stamina', 'menambah', 'hormon', 'menghilangkan', 'capek', 'menjaga', 'tubuh', 'perkasa', 'mudah', 'masuk', 'angin', 'mengentalkan', 'sperma', 'mencegah', 'ejakulasi']","['tambah', 'stamina', 'tambah', 'hormon', 'hilang', 'capek', 'jaga', 'tubuh', 'perkasa', 'mudah', 'masuk', 'angin', 'kental', 'sperma', 'cegah', 'ejakulasi']"
Jamu Pasutri,Sari Rapet Empot-Empot,"Mengharumkan bagian kewanitaan, Menyembuhkan keputihan / gatal disebabkan bakteri, Merapatkan vagina, Mengencangkan otot rahim, Menambah keharmonisan rumah tangga.",Mustika Madura,"mengharumkan bagian kewanitaan, menyembuhkan keputihan / gatal disebabkan bakteri, merapatkan vagina, mengencangkan otot rahim, menambah keharmonisan rumah tangga.",mengharumkan bagian kewanitaan menyembuhkan keputihan  gatal disebabkan bakteri merapatkan vagina mengencangkan otot rahim menambah keharmonisan rumah tangga,"['mengharumkan', 'bagian', 'kewanitaan', 'menyembuhkan', 'keputihan', 'gatal', 'disebabkan', 'bakteri', 'merapatkan', 'vagina', 'mengencangkan', 'otot', 'rahim', 'menambah', 'keharmonisan', 'rumah', 'tangga']","['mengharumkan', 'kewanitaan', 'menyembuhkan', 'keputihan', 'gatal', 'disebabkan', 'bakteri', 'merapatkan', 'vagina', 'mengencangkan', 'otot', 'rahim', 'menambah', 'keharmonisan', 'rumah', 'tangga']","['harum', 'wanita', 'sembuh', 'putih', 'gatal', 'sebab', 'bakteri', 'rapat', 'vagina', 'encang', 'otot', 'rahim', 'tambah', 'harmonis', 'rumah', 'tangga']"
Jamu Kesehatan,Pluntur(Pelancar Darah),"Melancarkan darah, menghilangkan pegal linu, menjaga stamina tubuh, mengurangi angka kelahiran.",Mustika Madura,"melancarkan darah, menghilangkan pegal linu, menjaga stamina tubuh, mengurangi angka kelahiran.",melancarkan darah menghilangkan pegal linu menjaga stamina tubuh mengurangi angka kelahiran,"['melancarkan', 'darah', 'menghilangkan', 'pegal', 'linu', 'menjaga', 'stamina', 'tubuh', 'mengurangi', 'angka', 'kelahiran']","['melancarkan', 'darah', 'menghilangkan', 'pegal', 'linu', 'menjaga', 'stamina', 'tubuh', 'mengurangi', 'angka', 'kelahiran']","['lancar', 'darah', 'hilang', 'pegal', 'linu', 'jaga', 'stamina', 'tubuh', 'kurang', 'angka', 'lahir']"
Jamu Pasutri,Strong,"Menambah stamina tubuh, Menghilangkan capek Menjaga tubuh tetap perkasa,  Mengentalkan sperma, Mencegah ejakulasi dini, Tahan lama.",Pj. Alam Insani Herbal,"menambah stamina tubuh, menghilangkan capek menjaga tubuh tetap perkasa,  mengentalkan sperma, mencegah ejakulasi dini, tahan lama.",menambah stamina tubuh menghilangkan capek menjaga tubuh tetap perkasa  mengentalkan sperma mencegah ejakulasi dini tahan lama,"['menambah', 'stamina', 'tubuh', 'menghilangkan', 'capek', 'menjaga', 'tubuh', 'tetap', 'perkasa', 'mengentalkan', 'sperma', 'mencegah', 'ejakulasi', 'dini', 'tahan', 'lama']","['menambah', 'stamina', 'tubuh', 'menghilangkan', 'capek', 'menjaga', 'tubuh', 'perkasa', 'mengentalkan', 'sperma', 'mencegah', 'ejakulasi', 'tahan']","['tambah', 'stamina', 'tubuh', 'hilang', 'capek', 'jaga', 'tubuh', 'perkasa', 'kental', 'sperma', 'cegah', 'ejakulasi', 'tahan']"
Jamu Perawatan Kewanitaan,Seger Montok,"Mengencangkan dan memontokkan payudara, Memadatkan tubuh, Mencerahkan wajah, Memberi nafsu makan, Menyehatkan badan.",Mustika Madura,"mengencangkan dan memontokkan payudara, memadatkan tubuh, mencerahkan wajah, memberi nafsu makan, menyehatkan badan.",mengencangkan dan memontokkan payudara memadatkan tubuh mencerahkan wajah memberi nafsu makan menyehatkan badan,"['mengencangkan', 'dan', 'memontokkan', 'payudara', 'memadatkan', 'tubuh', 'mencerahkan', 'wajah', 'memberi', 'nafsu', 'makan', 'menyehatkan', 'badan']","['mengencangkan', 'memontokkan', 'payudara', 'memadatkan', 'tubuh', 'mencerahkan', 'wajah', 'nafsu', 'makan', 'menyehatkan', 'badan']","['encang', 'montok', 'payudara', 'madat', 'tubuh', 'cerah', 'wajah', 'nafsu', 'makan', 'sehat', 'badan']"
Jamu Pasutri,Rapet Wangi Spesial,"Mengharumkan bagian kewanitaan, Menyembuhkan keputihan / Gatal disebabkan bakteri, merapatkan vagina, Mengencangkan otot rahim, Menambah keharmonisan rumah tangga.",Mustika Madura,"mengharumkan bagian kewanitaan, menyembuhkan keputihan / gatal disebabkan bakteri, merapatkan vagina, mengencangkan otot rahim, menambah keharmonisan rumah tangga.",mengharumkan bagian kewanitaan menyembuhkan keputihan  gatal disebabkan bakteri merapatkan vagina mengencangkan otot rahim menambah keharmonisan rumah tangga,"['mengharumkan', 'bagian', 'kewanitaan', 'menyembuhkan', 'keputihan', 'gatal', 'disebabkan', 'bakteri', 'merapatkan', 'vagina', 'mengencangkan', 'otot', 'rahim', 'menambah', 'keharmonisan', 'rumah', 'tangga']","['mengharumkan', 'kewanitaan', 'menyembuhkan', 'keputihan', 'gatal', 'disebabkan', 'bakteri', 'merapatkan', 'vagina', 'mengencangkan', 'otot', 'rahim', 'menambah', 'keharmonisan', 'rumah', 'tangga']","['harum', 'wanita', 'sembuh', 'putih', 'gatal', 'sebab', 'bakteri', 'rapat', 'vagina', 'encang', 'otot', 'rahim', 'tambah', 'harmonis', 'rumah', 'tangga']"
Jamu Kesehatan,Tolak Angin,"Menyembuhkan demam, pusing, perut mual, kembung, tenggorokan kering dan menambah daya tahan tubuh.",Mustika Madura,"menyembuhkan demam, pusing, perut mual, kembung, tenggorokan kering dan menambah daya tahan tubuh.",menyembuhkan demam pusing perut mual kembung tenggorokan kering dan menambah daya tahan tubuh,"['menyembuhkan', 'demam', 'pusing', 'perut', 'mual', 'kembung', 'tenggorokan', 'kering', 'dan', 'menambah', 'daya', 'tahan', 'tubuh']","['menyembuhkan', 'demam', 'pusing', 'perut', 'mual', 'kembung', 'tenggorokan', 'kering', 'menambah', 'daya', 'tahan', 'tubuh']","['sembuh', 'demam', 'pusing', 'perut', 'mual', 'kembung', 'tenggorok', 'kering', 'tambah', 'daya', 'tahan', 'tubuh']"
Jamu Perawatan Kewanitaan,Subur Kandungan,"untuk membantu menyehatkan, menyuburkan dan menguatkan kandungan. Jamu ini sangat baik bagi ibu-ibu yang sering keguguran dan sulit mendapatkan kehamilan.",Mustika Madura,"untuk membantu menyehatkan, menyuburkan dan menguatkan kandungan. jamu ini sangat baik bagi ibu-ibu yang sering keguguran dan sulit mendapatkan kehamilan.",untuk membantu menyehatkan menyuburkan dan menguatkan kandungan jamu ini sangat baik bagi ibuibu yang sering keguguran dan sulit mendapatkan kehamilan,"['untuk', 'membantu', 'menyehatkan', 'menyuburkan', 'dan', 'menguatkan', 'kandungan', 'jamu', 'ini', 'sangat', 'baik', 'bagi', 'ibuibu', 'yang', 'sering', 'keguguran', 'dan', 'sulit', 'mendapatkan', 'kehamilan']","['membantu', 'menyehatkan', 'menyuburkan', 'menguatkan', 'kandungan', 'jamu', 'ibuibu', 'keguguran', 'sulit', 'kehamilan']","['bantu', 'sehat', 'subur', 'kuat', 'kandung', 'jamu', 'ibuibu', 'gugur', 'sulit', 'hamil']"
Jamu Perawatan Kewanitaan,Sehat Wanita,"memadatkan tubuh, mengencangkan payudara yang kendur, menghilangkan bau badan, menyegarkan tubuh, menghilangkan letih, lesu & Capek, Mengencangkan kembali otot kewanitaan terutama pada wanita habis melahirkan, Membersihkan darah nifas, Merapatkankan kewanitaan, aman di konsumsi baik remaja perempuan maupun ibu, tidak disarankan mengkonsumsi untuk ibu hamil.",Mustika Madura,"memadatkan tubuh, mengencangkan payudara yang kendur, menghilangkan bau badan, menyegarkan tubuh, menghilangkan letih, lesu & capek, mengencangkan kembali otot kewanitaan terutama pada wanita habis melahirkan, membersihkan darah nifas, merapatkankan kewanitaan, aman di konsumsi baik remaja perempuan maupun ibu, tidak disarankan mengkonsumsi untuk ibu hamil.",memadatkan tubuh mengencangkan payudara yang kendur menghilangkan bau badan menyegarkan tubuh menghilangkan letih lesu  capek mengencangkan kembali otot kewanitaan terutama pada wanita habis melahirkan membersihkan darah nifas merapatkankan kewanitaan aman di konsumsi baik remaja perempuan maupun ibu tidak disarankan mengkonsumsi untuk ibu hamil,"['memadatkan', 'tubuh', 'mengencangkan', 'payudara', 'yang', 'kendur', 'menghilangkan', 'bau', 'badan', 'menyegarkan', 'tubuh', 'menghilangkan', 'letih', 'lesu', 'capek', 'mengencangkan', 'kembali', 'otot', 'kewanitaan', 'terutama', 'pada', 'wanita', 'habis', 'melahirkan', 'membersihkan', 'darah', 'nifas', 'merapatkankan', 'kewanitaan', 'aman', 'di', 'konsumsi', 'baik', 'remaja', 'perempuan', 'maupun', 'ibu', 'tidak', 'disarankan', 'mengkonsumsi', 'untuk', 'ibu', 'hamil']","['memadatkan', 'tubuh', 'mengencangkan', 'payudara', 'kendur', 'menghilangkan', 'bau', 'badan', 'menyegarkan', 'tubuh', 'menghilangkan', 'letih', 'lesu', 'capek', 'mengencangkan', 'otot', 'kewanitaan', 'wanita', 'habis', 'melahirkan', 'membersihkan', 'darah', 'nifas', 'merapatkankan', 'kewanitaan', 'aman', 'konsumsi', 'remaja', 'perempuan', 'disarankan', 'mengkonsumsi', 'hamil']","['madat', 'tubuh', 'encang', 'payudara', 'kendur', 'hilang', 'bau', 'badan', 'segar', 'tubuh', 'hilang', 'letih', 'lesu', 'capek', 'encang', 'otot', 'wanita', 'wanita', 'habis', 'lahir', 'bersih', 'darah', 'nifas', 'merapatkankan', 'wanita', 'aman', 'konsumsi', 'remaja', 'perempuan', 'saran', 'konsumsi', 'hamil']"
Jamu Pasutri,Sehat Laki-laki ( Helbeh),"Mengatasi lemah syahwat, Memperbaiki kualitas sperma, menambah /  Meningkatkan stamina (Pria  &  wanita)",Mustika Madura,"mengatasi lemah syahwat, memperbaiki kualitas sperma, menambah /  meningkatkan stamina (pria  &  wanita)",mengatasi lemah syahwat memperbaiki kualitas sperma menambah   meningkatkan stamina pria    wanita,"['mengatasi', 'lemah', 'syahwat', 'memperbaiki', 'kualitas', 'sperma', 'menambah', 'meningkatkan', 'stamina', 'pria', 'wanita']","['mengatasi', 'lemah', 'syahwat', 'memperbaiki', 'kualitas', 'sperma', 'menambah', 'meningkatkan', 'stamina', 'pria', 'wanita']","['atas', 'lemah', 'syahwat', 'baik', 'kualitas', 'sperma', 'tambah', 'tingkat', 'stamina', 'pria', 'wanita']"
Jamu Perawatan Kewanitaan,Natural Lulur Sari temugiring,"Menghaluskan dan mencerahkan kulit, melembabkan, menghilangkan bekas noda di tubuh.",Mustika Madura,"menghaluskan dan mencerahkan kulit, melembabkan, menghilangkan bekas noda di tubuh.",menghaluskan dan mencerahkan kulit melembabkan menghilangkan bekas noda di tubuh,"['menghaluskan', 'dan', 'mencerahkan', 'kulit', 'melembabkan', 'menghilangkan', 'bekas', 'noda', 'di', 'tubuh']","['menghaluskan', 'mencerahkan', 'kulit', 'melembabkan', 'menghilangkan', 'bekas', 'noda', 'tubuh']","['halus', 'cerah', 'kulit', 'melembabkan', 'hilang', 'bekas', 'noda', 'tubuh']"
Jamu Pasutri,Empot Sari Rapet,"mengembalikan masa keperawanan dan menambah keharmonisan dalam rumah tangga, memadatkan tubuh dan membuat badan lebih segar.",TOKO NUR,"mengembalikan masa keperawanan dan menambah keharmonisan dalam rumah tangga, memadatkan tubuh dan membuat badan lebih segar.",mengembalikan masa keperawanan dan menambah keharmonisan dalam rumah tangga memadatkan tubuh dan membuat badan lebih segar,"['mengembalikan', 'masa', 'keperawanan', 'dan', 'menambah', 'keharmonisan', 'dalam', 'rumah', 'tangga', 'memadatkan', 'tubuh', 'dan', 'membuat', 'badan', 'lebih', 'segar']","['mengembalikan', 'keperawanan', 'menambah', 'keharmonisan', 'rumah', 'tangga', 'memadatkan', 'tubuh', 'badan', 'segar']","['kembali', 'perawan', 'tambah', 'harmonis', 'rumah', 'tangga', 'madat', 'tubuh', 'badan', 'segar']"
Jamu Perawatan Kewanitaan,Awet Muda,membantu memelihara kecantikan,TOKO NUR,membantu memelihara kecantikan,membantu memelihara kecantikan,"['membantu', 'memelihara', 'kecantikan']","['membantu', 'memelihara', 'kecantikan']","['bantu', 'pelihara', 'cantik']"
Jamu Pasutri,Ma'jun,"menyembuhkan sakit pinggang, pegal linu, encok dan rematik, menghilangkan rasa lelah sehingga menambahan stamina dan syahwat",TOKO NUR,"menyembuhkan sakit pinggang, pegal linu, encok dan rematik, menghilangkan rasa lelah sehingga menambahan stamina dan syahwat",menyembuhkan sakit pinggang pegal linu encok dan rematik menghilangkan rasa lelah sehingga menambahan stamina dan syahwat,"['menyembuhkan', 'sakit', 'pinggang', 'pegal', 'linu', 'encok', 'dan', 'rematik', 'menghilangkan', 'rasa', 'lelah', 'sehingga', 'menambahan', 'stamina', 'dan', 'syahwat']","['menyembuhkan', 'sakit', 'pinggang', 'pegal', 'linu', 'encok', 'rematik', 'menghilangkan', 'lelah', 'menambahan', 'stamina', 'syahwat']","['sembuh', 'sakit', 'pinggang', 'pegal', 'linu', 'encok', 'rematik', 'hilang', 'lelah', 'tambah', 'stamina', 'syahwat']"
Jamu Kesehatan,Sale Karang,"Untuk sakit gigi, gusi bengkak dan gusi berdarah",TOKO NUR,"untuk sakit gigi, gusi bengkak dan gusi berdarah",untuk sakit gigi gusi bengkak dan gusi berdarah,"['untuk', 'sakit', 'gigi', 'gusi', 'bengkak', 'dan', 'gusi', 'berdarah']","['sakit', 'gigi', 'gusi', 'bengkak', 'gusi', 'berdarah']","['sakit', 'gigi', 'gusi', 'bengkak', 'gusi', 'darah']"
Jamu Kesehatan,Ibu Hamil,biar tidak mudah capek,TOKO NUR,biar tidak mudah capek,biar tidak mudah capek,"['biar', 'tidak', 'mudah', 'capek']","['biar', 'mudah', 'capek']","['biar', 'mudah', 'capek']"
Jamu Kesehatan,Diabet,menstabilkan kadar gula,TOKO NUR,menstabilkan kadar gula,menstabilkan kadar gula,"['menstabilkan', 'kadar', 'gula']","['menstabilkan', 'kadar', 'gula']","['stabil', 'kadar', 'gula']"
Jamu Kesehatan,Nafsu Makan,Untuk menambah nafsu makan,TOKO BU EMA,untuk menambah nafsu makan,untuk menambah nafsu makan,"['untuk', 'menambah', 'nafsu', 'makan']","['menambah', 'nafsu', 'makan']","['tambah', 'nafsu', 'makan']"
Jamu Pasutri,Sehat Pria,Untuk menambah tenaga lelaki saat berhubungan intim,TOKO BU EMA,untuk menambah tenaga lelaki saat berhubungan intim,untuk menambah tenaga lelaki saat berhubungan intim,"['untuk', 'menambah', 'tenaga', 'lelaki', 'saat', 'berhubungan', 'intim']","['menambah', 'tenaga', 'lelaki', 'berhubungan', 'intim']","['tambah', 'tenaga', 'lelaki', 'hubung', 'intim']"
Jamu Perawatan Kewanitaan,Sehat Wanita,Untuk menambah stamina perempuan dan menjaga organ kewanitaan,TOKO BU EMA,untuk menambah stamina perempuan dan menjaga organ kewanitaan,untuk menambah stamina perempuan dan menjaga organ kewanitaan,"['untuk', 'menambah', 'stamina', 'perempuan', 'dan', 'menjaga', 'organ', 'kewanitaan']","['menambah', 'stamina', 'perempuan', 'menjaga', 'organ', 'kewanitaan']","['tambah', 'stamina', 'perempuan', 'jaga', 'organ', 'wanita']"
Jamu Kesehatan,Nafsu Makan,menambah nafsu makan,TOKO BU EMA,menambah nafsu makan,menambah nafsu makan,"['menambah', 'nafsu', 'makan']","['menambah', 'nafsu', 'makan']","['tambah', 'nafsu', 'makan']"
Jamu Kesehatan,Gatal-gatal,untuk menyembuhkan gatal - gatal dan alergi,TOKO BU EMA,untuk menyembuhkan gatal - gatal dan alergi,untuk menyembuhkan gatal  gatal dan alergi,"['untuk', 'menyembuhkan', 'gatal', 'gatal', 'dan', 'alergi']","['menyembuhkan', 'gatal', 'gatal', 'alergi']","['sembuh', 'gatal', 'gatal', 'alergi']"
Jamu Perawatan Kewanitaan,Ibu Melahirkan,memperlancar ASI,TOKO BU EMA,memperlancar asi,memperlancar asi,"['memperlancar', 'asi']","['memperlancar', 'asi']","['lancar', 'asi']"
Jamu Kesehatan,Jamu Sakit Pinggang,meredakan nyeri pinggang dan menambah stamina,TOKO BU EMA,meredakan nyeri pinggang dan menambah stamina,meredakan nyeri pinggang dan menambah stamina,"['meredakan', 'nyeri', 'pinggang', 'dan', 'menambah', 'stamina']","['meredakan', 'nyeri', 'pinggang', 'menambah', 'stamina']","['reda', 'nyeri', 'pinggang', 'tambah', 'stamina']"
Jamu Kesehatan,Jaselang,"Menambah stamina, pegal linu, capek - capek, menghangatkan badan ",Warda,"menambah stamina, pegal linu, capek - capek, menghangatkan badan ",menambah stamina pegal linu capek  capek menghangatkan badan ,"['menambah', 'stamina', 'pegal', 'linu', 'capek', 'capek', 'menghangatkan', 'badan']","['menambah', 'stamina', 'pegal', 'linu', 'capek', 'capek', 'menghangatkan', 'badan']","['tambah', 'stamina', 'pegal', 'linu', 'capek', 'capek', 'hangat', 'badan']"
Jamu Pasutri,Macho,"Menambah stamina pria dan ereksi, meningkatkan libido, mengobati pegal linu, capek - capek, dan menghangatkan badan",Warda,"menambah stamina pria dan ereksi, meningkatkan libido, mengobati pegal linu, capek - capek, dan menghangatkan badan",menambah stamina pria dan ereksi meningkatkan libido mengobati pegal linu capek  capek dan menghangatkan badan,"['menambah', 'stamina', 'pria', 'dan', 'ereksi', 'meningkatkan', 'libido', 'mengobati', 'pegal', 'linu', 'capek', 'capek', 'dan', 'menghangatkan', 'badan']","['menambah', 'stamina', 'pria', 'ereksi', 'meningkatkan', 'libido', 'mengobati', 'pegal', 'linu', 'capek', 'capek', 'menghangatkan', 'badan']","['tambah', 'stamina', 'pria', 'ereksi', 'tingkat', 'libido', 'obat', 'pegal', 'linu', 'capek', 'capek', 'hangat', 'badan']"
Jamu Kesehatan,Kusir,"menghilangkan bau badan, sakit kepala ",Warda,"menghilangkan bau badan, sakit kepala ",menghilangkan bau badan sakit kepala ,"['menghilangkan', 'bau', 'badan', 'sakit', 'kepala']","['menghilangkan', 'bau', 'badan', 'sakit', 'kepala']","['hilang', 'bau', 'badan', 'sakit', 'kepala']"
Jamu Perawatan Kewanitaan,Sarpet Manjakani,"mencegah keputihan, menghilangkan bau  badan, merapatkan vagina ",Warda,"mencegah keputihan, menghilangkan bau  badan, merapatkan vagina ",mencegah keputihan menghilangkan bau  badan merapatkan vagina ,"['mencegah', 'keputihan', 'menghilangkan', 'bau', 'badan', 'merapatkan', 'vagina']","['mencegah', 'keputihan', 'menghilangkan', 'bau', 'badan', 'merapatkan', 'vagina']","['cegah', 'putih', 'hilang', 'bau', 'badan', 'rapat', 'vagina']"
Jamu Kesehatan,Jamu Sondhep,"meredakan nyeri otot bagian bahu, otot pinggang, dan memperlancar peredaran darah",TOKO ANGGREK,"meredakan nyeri otot bagian bahu, otot pinggang, dan memperlancar peredaran darah",meredakan nyeri otot bagian bahu otot pinggang dan memperlancar peredaran darah,"['meredakan', 'nyeri', 'otot', 'bagian', 'bahu', 'otot', 'pinggang', 'dan', 'memperlancar', 'peredaran', 'darah']","['meredakan', 'nyeri', 'otot', 'bahu', 'otot', 'pinggang', 'memperlancar', 'peredaran', 'darah']","['reda', 'nyeri', 'otot', 'bahu', 'otot', 'pinggang', 'lancar', 'edar', 'darah']"
Jamu Kesehatan,Sale Karang,"sakit gigi,  gusi bengkak dan gusi berdarah",TOKO ANGGREK,"sakit gigi,  gusi bengkak dan gusi berdarah",sakit gigi  gusi bengkak dan gusi berdarah,"['sakit', 'gigi', 'gusi', 'bengkak', 'dan', 'gusi', 'berdarah']","['sakit', 'gigi', 'gusi', 'bengkak', 'gusi', 'berdarah']","['sakit', 'gigi', 'gusi', 'bengkak', 'gusi', 'darah']"
Jamu Kesehatan,Daun sirih,"menghilangkan bau badan, mengobati sariawan, menghilangkan mau bulut, mencegah keropos pada gigi dan tulang",TOKO ANGGREK,"menghilangkan bau badan, mengobati sariawan, menghilangkan mau bulut, mencegah keropos pada gigi dan tulang",menghilangkan bau badan mengobati sariawan menghilangkan mau bulut mencegah keropos pada gigi dan tulang,"['menghilangkan', 'bau', 'badan', 'mengobati', 'sariawan', 'menghilangkan', 'mau', 'bulut', 'mencegah', 'keropos', 'pada', 'gigi', 'dan', 'tulang']","['menghilangkan', 'bau', 'badan', 'mengobati', 'sariawan', 'menghilangkan', 'bulut', 'mencegah', 'keropos', 'gigi', 'tulang']","['hilang', 'bau', 'badan', 'obat', 'sariawan', 'hilang', 'bulut', 'cegah', 'keropos', 'gigi', 'tulang']"
Jamu Pasutri,Kuda Hitam,Untuk meningkatkan kekuatan pada pria saat berhubungan,RATOHQU,untuk meningkatkan kekuatan pada pria saat berhubungan,untuk meningkatkan kekuatan pada pria saat berhubungan,"['untuk', 'meningkatkan', 'kekuatan', 'pada', 'pria', 'saat', 'berhubungan']","['meningkatkan', 'kekuatan', 'pria', 'berhubungan']","['tingkat', 'kuat', 'pria', 'hubung']"
Jamu Pasutri,Jahe Merah Plus,Untuk menambah stamina tubuh Pria dan wanita saat berhubungan,RATOHQU,untuk menambah stamina tubuh pria dan wanita saat berhubungan,untuk menambah stamina tubuh pria dan wanita saat berhubungan,"['untuk', 'menambah', 'stamina', 'tubuh', 'pria', 'dan', 'wanita', 'saat', 'berhubungan']","['menambah', 'stamina', 'tubuh', 'pria', 'wanita', 'berhubungan']","['tambah', 'stamina', 'tubuh', 'pria', 'wanita', 'hubung']"
Jamu Kesehatan,ekstrak jahe,untuk mengobati gejala masuk angin,RATOHQU,untuk mengobati gejala masuk angin,untuk mengobati gejala masuk angin,"['untuk', 'mengobati', 'gejala', 'masuk', 'angin']","['mengobati', 'gejala', 'masuk', 'angin']","['obat', 'gejala', 'masuk', 'angin']"
Jamu Kesehatan,ekstrak temulawak,untuk mengobati penyakit asam lambung dan menambah nafsu makan,RATOHQU,untuk mengobati penyakit asam lambung dan menambah nafsu makan,untuk mengobati penyakit asam lambung dan menambah nafsu makan,"['untuk', 'mengobati', 'penyakit', 'asam', 'lambung', 'dan', 'menambah', 'nafsu', 'makan']","['mengobati', 'penyakit', 'asam', 'lambung', 'menambah', 'nafsu', 'makan']","['obat', 'sakit', 'asam', 'lambung', 'tambah', 'nafsu', 'makan']"
Jamu Kesehatan,ektrak kunyit,untuk mengobati penyakit asam lambung ,RATOHQU,untuk mengobati penyakit asam lambung ,untuk mengobati penyakit asam lambung ,"['untuk', 'mengobati', 'penyakit', 'asam', 'lambung']","['mengobati', 'penyakit', 'asam', 'lambung']","['obat', 'sakit', 'asam', 'lambung']"
Jamu Pasutri,kopi lake',Untuk meningkatkan kekuatan pada pria,RATOHQU,untuk meningkatkan kekuatan pada pria,untuk meningkatkan kekuatan pada pria,"['untuk', 'meningkatkan', 'kekuatan', 'pada', 'pria']","['meningkatkan', 'kekuatan', 'pria']","['tingkat', 'kuat', 'pria']"
Jamu Kesehatan,wedang jahe merah,Menambah stamina tubuh,RATOHQU,menambah stamina tubuh,menambah stamina tubuh,"['menambah', 'stamina', 'tubuh']","['menambah', 'stamina', 'tubuh']","['tambah', 'stamina', 'tubuh']"
Jamu Kesehatan,kunyit asam madu,"untuk merawat kesehatan lambung, dan mengobati panas dalam",RATOHQU,"untuk merawat kesehatan lambung, dan mengobati panas dalam",untuk merawat kesehatan lambung dan mengobati panas dalam,"['untuk', 'merawat', 'kesehatan', 'lambung', 'dan', 'mengobati', 'panas', 'dalam']","['merawat', 'kesehatan', 'lambung', 'mengobati', 'panas']","['rawat', 'sehat', 'lambung', 'obat', 'panas']"
Jamu Perawatan Kewanitaan,manjakani,untuk merawat kesehatan wanita seperti memperlancar haid dan keputihan,RATOHQU,untuk merawat kesehatan wanita seperti memperlancar haid dan keputihan,untuk merawat kesehatan wanita seperti memperlancar haid dan keputihan,"['untuk', 'merawat', 'kesehatan', 'wanita', 'seperti', 'memperlancar', 'haid', 'dan', 'keputihan']","['merawat', 'kesehatan', 'wanita', 'memperlancar', 'haid', 'keputihan']","['rawat', 'sehat', 'wanita', 'lancar', 'haid', 'putih']"
